PositionNED, 0, 0, 5.39433, 22901
VelocityNED, 0.00368797, -0.000378255, 0.00247743, 22901
EulerAngle, 4.96801, -4.2382, 61.7127, 22933
PositionNED, 0, 0, 5.39094, 22981
VelocityNED, 0.00256503, 0.000114069, 0.000925734, 22981
EulerAngle, 4.91713, -4.26764, 61.7597, 23013
PositionNED, 0, 0, 5.38819, 23077
VelocityNED, 0.00230008, -0.000164603, -7.7694e-05, 23077
EulerAngle, 4.91098, -4.22658, 61.8166, 23093
PositionNED, 0, 0, 5.38496, 23157
VelocityNED, 0.00155731, 0.00110853, 5.96528e-05, 23157
EulerAngle, 4.90372, -4.22754, 61.8219, 23173
PositionNED, 0, 0, 5.37974, 23261
VelocityNED, 0.00187681, 0.00117151, -0.0013648, 23261
EulerAngle, 4.93998, -4.2524, 61.8164, 23261
PositionNED, 0, 0, 5.37373, 23309
VelocityNED, 0.00132353, 0.000860517, -0.00358885, 23309
EulerAngle, 4.91857, -4.24062, 61.8328, 23348
PositionNED, 0, 0, 5.36924, 23396
VelocityNED, 0.000576888, 0.00205783, -0.00484803, 23396
EulerAngle, 4.95802, -4.2314, 61.8357, 23428
PositionNED, 0, 0, 5.36634, 23460
VelocityNED, 0.000645024, 0.00162323, -0.00507618, 23460
EulerAngle, 4.96458, -4.20831, 61.845, 23492
PositionNED, 0, 0, 5.36145, 23556
VelocityNED, -0.000477892, 0.00349427, -0.00557962, 23556
EulerAngle, 5.18296, -4.12001, 61.7853, 23588
PositionNED, 0, 0, 5.36016, 23659
VelocityNED, 0.00132218, 0.00165208, -0.00637363, 23659
EulerAngle, 5.21908, -4.10141, 61.776, 23659
PositionNED, 0, 0, 5.36119, 23707
VelocityNED, -5.18587e-05, 0.00224877, -0.00622131, 23707
PositionNED, 0, 0, 5.3591, 23784
VelocityNED, -0.000482424, 0.00279636, -0.00700363, 23784
EulerAngle, 5.23767, -4.08786, 61.7757, 23752
EulerAngle, 5.21908, -4.09175, 61.7773, 23816
PositionNED, 0, 0, 5.35689, 23864
VelocityNED, 0.000317361, 0.00314158, -0.00780906, 23864
EulerAngle, 5.22443, -4.08944, 61.7727, 23912
PositionNED, 0, 0, 5.35463, 23959
VelocityNED, 0.00021779, 0.00325769, -0.00781573, 23959
EulerAngle, 5.23117, -4.08257, 61.7697, 23990
PositionNED, 0, 0, 5.3536, 24022
VelocityNED, -6.41591e-05, 0.00383103, -0.00786472, 24022
EulerAngle, 5.23132, -4.08203, 61.768, 24086
PositionNED, 0, 0, 5.35061, 24102
VelocityNED, -1.654e-06, 0.00370967, -0.00928426, 24102
EulerAngle, 5.23086, -4.0845, 61.7614, 24150
PositionNED, 0, 0, 5.34942, 24198
VelocityNED, -3.54187e-05, 0.00357876, -0.00943003, 24198
EulerAngle, 5.23531, -4.085, 61.7554, 24214
PositionNED, 0, 0, 5.35003, 24262
VelocityNED, 0.000120101, 0.00358334, -0.00867434, 24262
EulerAngle, 5.23709, -4.08221, 61.7493, 24294
PositionNED, 0, 0, 5.34844, 24355
VelocityNED, 0.00063537, 0.00392961, -0.00901585, 24355
EulerAngle, 5.23612, -4.08018, 61.7457, 24387
PositionNED, 0, 0, 5.34977, 24420
VelocityNED, 0.000849775, 0.00414946, -0.00875014, 24420
EulerAngle, 5.23849, -4.07988, 61.7445, 24460
PositionNED, 0, 0, 5.35171, 24508
VelocityNED, 0.000924918, 0.0038429, -0.00774455, 24508
EulerAngle, 5.24103, -4.07905, 61.7427, 24583
PositionNED, 0, 0, 5.3505, 24605
VelocityNED, 0.000886998, 0.00352362, -0.00763362, 24605
EulerAngle, 5.24017, -4.07726, 61.736, 24638
PositionNED, 0, 0, 5.34562, 24669
VelocityNED, 0.00108421, 0.00334255, -0.00936104, 24669
EulerAngle, 5.24263, -4.07481, 61.7325, 24702
PositionNED, 0, 0, 5.33588, 24755
VelocityNED, 0.00190059, 0.00336721, -0.0129899, 24755
EulerAngle, 5.24191, -4.07443, 61.7287, 24771
PositionNED, 0, 0, 5.3271, 24835
VelocityNED, 0.00209004, 0.00283576, -0.0164932, 24835
EulerAngle, 5.24294, -4.07381, 61.7221, 24860
PositionNED, 0, 0, 5.32047, 24908
VelocityNED, 0.00166387, 0.00299018, -0.0179451, 24908
PositionNED, 0, 0, 5.31379, 24983
VelocityNED, 0.00218653, 0.00268447, -0.0189813, 24983
EulerAngle, 5.24359, -4.07227, 61.7217, 24951
EulerAngle, 5.24213, -4.07177, 61.7171, 25015
PositionNED, 0, 0, 5.30959, 25063
VelocityNED, 0.00251819, 0.00250407, -0.0201656, 25063
EulerAngle, 5.23688, -4.07232, 61.7178, 25095
PositionNED, 0, 0, 5.30788, 25154
VelocityNED, 0.00236542, 0.00218195, -0.0204165, 25154
EulerAngle, 5.23766, -4.07198, 61.7178, 25170
PositionNED, 0, 0, 5.30935, 25265
VelocityNED, 0.00244611, 0.00205219, -0.0196529, 25265
EulerAngle, 5.23693, -4.07225, 61.7146, 25265
PositionNED, 0, 0, 5.31019, 25313
VelocityNED, 0.00292064, 0.0017813, -0.0196103, 25313
PositionNED, 0, 0, 5.31119, 25383
VelocityNED, 0.00262598, 0.00151758, -0.019247, 25383
EulerAngle, 5.22689, -4.07761, 61.7151, 25351
